star_rating,review_body
1,"Fits great, looks cool and slim.Haven't dropped phone yet to see how well it protects."
1,very good performance and noce price
-1,"I bought my glass screen protector, amd it is really disappointing. I don't do things that are particularly hard on phones, just normal adult use and my first one cracked within weeks. I got a replacement for the $5.99 shipping charge, and within weeks, it is cracked in multiple places again. The phone is never without a case either for protection from falls and such. The only conclusion I can draw is the protector itself is flawed in some way"
1,"Love this case I am even gonna look and see if they h ave any other styles, seems very durable as I very rarely drop my phone but the other day I stood up to greet someone forgetting my phone was on my lap and it fell on to concrete, everything A-Okay !!!!!  I would recommend this case for the simple fact I have been very happy with it and it survived the fall."
0,I ordered 10 foot cables and these cables are only 9'9&#34;  should not be advertised as 10 foot
1,Love the design. I'm hard on my phone and case fell apart.
1,Very nice looking watch
-1,"The unit I received appeared to be refurbished, as there was no plastic film on the screen and the screen had some minor mars and scratches.  I could have lived with that; however the unit kept randomly turning itself off.  I checked all the connections, and they were tight.  So I am returning it for a replacement, which I hope will function properly."
1,"I make and sell greeting cards to benefit our local library, and this Cottage Cutz two-piece mini frog die looks cute on my favorite anniversary card.  It would also work well on children's birthday cards.<br /><br />I used 80 lb. card stock to cut this die on my Sizzix Grand Calibur machine,<br /><br />Please see customer image for an example of an A7 (5&#34; x 7&#34;) anniversary card that I made with this die.  The castle die is made by Quick Kutz and the cat tails are cut from another Cottage Cutz die, &#34;Mallard Ducks w/ Cats-tail.&#34;"
1,Great wallet case. Nice n simple
1,"I really like my new case it's durable, comfortable to hold, and I like the stands!!!"
1,"If you're in doubt to purchase this, don't be! Order it!  I had my iPhone 6+ mounted on my motorcycle - it happened to pop out of the holder it was in, while I was moving.  I guess it was the vibration.  Irregardless, it landed on concrete in the middle of a busy intersection. After turning around to go retrieve it, I watched it being driven over by 4 cars.  There is not one scratch on my phone.  The screen did not break/crack.  I was so relieved when I got it back - words cannot describe."
1,"Was just what my husband needed, he just broke the screen on his phone so this is a life saver."
-1,Ordered 2 of these. Both Stylist are bent
1,Love this! I Have been using this holder for my IPhone 6 while riding my bike for the past 2 months or so. I ride on paved streets and crushed gravel bike paths and it works great..my phone stays in place solidly and is easy to use. I definitely recommend this product!
1,"i bought this charger for note 4, i am fully satisfied with this charger, its same like original one which one come with the phone, charge so fast like original one, and phone show that on screen its adaptive fast charger, nothing difference then original one. highly recommended."
1,Love this. I must have broken a million apple chargers. I've had this for months now and it hasn't broken.I love the length. I need to buy another one for my car!
1,"These headphones really deliver! Being on the go all the time, having a durable, lightweight, and wireless headset was very high on my priority list. After doing some research, and reading the many positive reviews, I decided to try these Blimark Bluetooth earbuds, and I was very happy with my decision!<br /><br />After receiving them promptly, I was immediately impressed by the overall quality of the packaging and materials, and the sound was extremely impressive as well. Even though the bass is a bit subtle and perhaps not as deep as some over the ear or higher quality headsets, these earbuds still create the perfect undertones to those hot and heavy dance beats!<br /><br />They are excellent at noise cancellation as well, allowing the music to be super focused with the perfect level of sound. The comfortable fit allows them to fit snug and very close to your ear, making them great for working out, running, or even dancing. I have been using them for several weeks now, and I can honestly say that I will not be using any other kind for quite some time! If you’re looking to purchase a pair of great wireless headphones without breaking the bank, this is the set to get!"
1,I like this case. I was looking for a case that was not bulky and i could easily grip. With this case i can get to the phone unlock it with my fingerprint and scroll better. I found that it fits really good in my hand when im using it. the rubber is not thick and all around fits nicely on my phone. One of the good parts of getting this case it came with a  screen protector. Fits goods and didn't take away from the sensitivity. I love the color it is just as pictured.
1,I am very pleased with my order it was more than I expected and fast delivery!!!
1,"Device holder is awesome, holds my phone securely with no shaking.  Thanks a lot guys.  Great product :)"
1,Great product fast shipping
-1,Clip was very loose on the phone
0,Serves the purpose but a little short
0,The charger holds its grip to the watch and does its job so far. The problem is that it is indeed a charger only. If you want to connect it to the computer via USB it doesn't work at all. I suppose that it provides only power connections and the data pins are not connected at all. The computer doesn't recognize it when plugged in although the watch is charged properly. If you are an Android Wear developer and need this to connect to the computer then this is definitely not your cradle.
1,Quality and performance is tip top. Keep striving for better Anker!
-1,"is only for 5 months,I brought in march and not work."
1,No one ever takes my picture.  All pics I have are of everyone else in the family.  Not any longer.  It's really easy to use.  A little tight on my iPhone6S because it has a protective cover on it and makes the phone absolutely as large as the prongs will spread.  Works like a charm.
1,"My mom made me purchase this for my hike on the Appalachian Trail. It worked great the first two weeks until I changed the batteries. After that, it quit sending the automatic updates to the website. It would turn off until manually turned back on. Needless to say my family and friends thought I was dead quite a few times.<br /><br />I'm sure it's all my fault and I bought the wrong batteries or something but was still a big pain in the butt. I haven't messed with it since returning."
1,Love it
1,good
1,Perfect black minimalistic TPU case for S5.
-1,"I bought one. It worked. I bought a second one for another vehicle. It didn't work, so I switched the two. I used the second one and it caught on fire. I burned my hand. Luckily, me and my kids are okay, and so is the. Vehicle and $900 phone. The original one fell apart the same day as the fire. Don't waste your money!!!"
1,I love this case for my new 5c.  It fits the phone perfectly and is snuggly.  I also love the color and how it is also transparent so that you can see the green of my phone on the back.  This is not a bulky case and fits nicely in purses that have pre-sized pouches for cell phones. I highly recommend this case.
1,This case is perfect for my Kindle Fire and costs a lot less than some of the other ones.
-1,"The Worst !  Range and clarity sucks. this my second one , no better then the first"
1,I think this is actually a perfect gift for a teenager. You have many colors to choose from. This is the smallest selfie stick I have ever seen. Its small enough to fit in my clutches. I already used it with my husbands Galaxy S5 while his case was on. I was able to use it right away the only thing I had to do is connect the take line to the phone jack and I was ready to start taking pics. I believe in some phones you will have download an app. I was actually shocked that a small pen sized selfie stick could expand that long.<br />*I received this product for a discount price in exchange for an honest unbiased review.
0,"Nice quality but no flap magnet or closure lock, was worried if phone fell display could be damaged"
1,Haven't had the back up camera part installed yet but it works great as a mirror
-1,Don't stick correctly
1,Works so much like my jiake phone I just love it.the price was great. Best priced product for the specs and promotional offers
1,Like
1,"I love the design! It's sleek and functional, and my Note 4 fits perfectly. The only flaw is that the exterior looked &#34;dirty&#34;. There was no shine or sheen to the patent-leather look. It had many streaks and looked &#34;cloudy&#34;. I returned it and received a replacement, which looked the same. I used different  cleaning products, but the only thing that worked was rubbing alcohol. It looks beautiful now."
1,Worked perfectly!
1,Product exactly as described at a reasonable price and prompt delivery. Couldn't as for more.
1,"This has been fantanstic.  It quick charges my phone (an i6) which has been REALLY useful when out for a long day.<br /><br />Down sides:  Takes a long time to charge, and is a little heavy to carry around -- but I usually leave one in the car.<br /><br />For the great price, I bought 2, so the long charge time doesn't cause a problem.  When one is charged, I put it in my car and plug in the second."
1,Like these snug gloves.
-1,The battery lasted 8 days.  After the 8th day started getting the message &#34;Invalid Battery&#34;
-1,"Very poor quality.  No matter what I do, people can't hear me when I'm using it.  In some cases, it doesn't even speak correct English."
1,I have several of these and I love how strong they are.
1,"Very good<br />Only problem is plastic screen scratches kind of<br />easily, but not a big deal.  Dropped phone several times with no damage.  Nice looking case."
-1,I followed instructions on the internet (it took me two hours) and the battery broke the iphone.  I had to buy a new phone because of it:(
1,It works as advertised.
0,"I have an Iphone 6 Plus, and when I put my phone in it it snapped back and actually cracked my Zag glass screen protector, I hope my actual phone is not cracked, I have not taken my screen protector off yet! The stick itself works great, but this now might cost me a couple hundred dollars."
1,It's so cute & came way earlier then any of my other cases & I ordered them 2-3 weeks before .<br />I had the pink one before the purple one . I think the pink one actually looks better I just can't seem to find it .<br />& it doesn't stink or nothing . YES !!
0,"6 months,no problems yet; except foe the fact that it doesnt read mini sd cards, being thats the reason i bought it"
1,Goes on very easily and stays in place. So far it saved my screen from a really nasty damage so i can safely say that this product can withstand cosmetic stuff due to regular wear.
0,"As others have indicated, the black jelly case is very glossy. It doesn't look like the picture and scuffs easily. Buttons take some effort to push, and I frequently have to hold both sides to squeeze the power button (sometimes accidentally taking screen shots!). But it does make the phone much more tacky and easy to hold. It fits well and ports are easily accessible."
0,Just received it and holds phone good but I ordered purple and its very pink.
1,Very good for tablets and phones.
1,"Top port stopped working after 45 days. Too late to return.<br /><br />Review update: Anker support reached out and offered trouble-shooting solutions. P.S. I like the upgrade of this model better than the 24W 2-port usb wall charger.  If you are debating, get the 24w!"
1,Very pleased with this arm band. Does what I need it to and fits perfectly. I would recommend the arm band extender for those with average to larger sized arms.
1,"For the potential buyers that have a Samsung Galaxy 3:<br /><br />To me it feels pretty much the same. Not much of a difference except for a few.<br />The most noticeable is the appearance, of course. It is much larger and was a bit of a challenge for me since I have small hands, but you get used to it pretty quickly. The &#34;back&#34; button is placed on the left side rather on the right.<br />The Wifi connection gave me some problems, but after fumbling around a bit I was finally able to connect to further wifi hotspots rather than in my own home (this is especially important for gps/locations).<br />The call quality is pretty much the same depending on your wifi. Speakers are BEAUTIFUL on this thing! The Galaxy was loud, but this has quite a range and quality.<br />I thought the screen resolution would be a downgrade and I thought it would look &#34;fake&#34;, but I was surprised at how clear everything was. (Tsum Tsum is so much more fun to play on here!!!).<br /><br />The most important change is the storage space. This phone provides 8gb, but when you check it it will say that you have already used up to 6gb of the space. The majority of it is coming from your preloaded apps. Useless, useless apps!!<br />After some research I bought a 32gb micro sd card along with it. When you set up this phone I would disable any preloaded apps that you don't need at all (you can't delete any of them...). For any new apps that you downloaded for yourself you have the option to place it in the sd card instead of your phone storage to save space. I have about 13 apps on the side that go to the sd card and I still have 2gb space left on the phone storage, which is a good sign leaving me with 28gb of space on the sd card!<br />Keep in mind that only some apps can be transferred to the sd card.<br />Another side note is that you cannot take the back of the phone off so you can't change the battery. However, on a full day of leaving wifi conn. on and using tumblr and facebook formore than an hour (and some tsum tsum) thoughout the day only leaves me at around 60-70%<br /><br />Camera quality is alright. The thing with this is that it can be either as good as the galaxy 3 or worse. It really depends on your steady hands and how steady your object of focus is. I am fine with this camera and is the only reason why I got this phone at this price, but the quality is a downgrade for sure. It's fine in the daylight and if you have some sort of tripod, but anytime that is dark even the flash won't help that grainy look you get on cheaper phones unless you have a GOOD light source.<br /><br />This phone likes to update a lot (twice a month at this rate), but that could just be either my phone is adjusting itself or I have bad luck.<br /><br />Either way, for this price I would give this phone a 7/10 mostly because of the camera quality. Everything else is fine if you are okay with some minor changes and routines."
1,Was as advertised
-1,It broke after only one week
1,Very happy with his product
-1,Horrible. Scr
1,Good thing it has 2 ports. There's always someone else in my car. Its good material. Charges my phone perfectly fine. No complaints. I recommend this product.
0,Works but I have larger arms on top and it is tight
1,"I received this so that I could use it and review it.  and give my unbiased opinion. First I want to say It was way easier to put on than i thought. it passed the test if me trying to scratch it with my keys. It even witheld the face down drop from about 3 feet. this is a quality screen protector,"
1,They are pretty legit. Charge just fine. I don't know why but i thought they were metal. heh.
1,"This case is attractive, the color is true to what I ordered, and it fits as described.  The only complaint is that it is a bit thick and bulky.  Not terribly so, but thicker than I'd have liked. Overall, a very good case and protection."
1,Took a while to come but works just fine
1,"Really good case!  Dropped my 5S several times, and not a single scratch!  Looks nice and sleek too, being all black."
-1,It takes forever to charge and it gets hot.
0,The video quality wasn't what I expected but it works well enough.
0,"One tool was slightly bent, the battery was OK at best as far as performance."
1,Thank you
-1,"Does not fit my phone, they did not specify that it would not fit active..."
1,This is what it says..... waterproof but NOTE:....IT DOES NOT FLOAT.  If you are looking for a floating case you need to look further.  I was not thinking about that and guess I assumed that it would float.  I cannot hold that against the product as it does not make any claims as such.  It is what it says and the price it right. Good product.
1,Works perfectly!
1,Pouch works exactly as described. Very satisfied with purchase!
1,"[[ASIN:B00QTE09SY iClever® 4.8A 24W Dual USB Travel Wall Charger with SmartID Technology, Foldable Plug for iPhone iPad, Samsung Galaxy, HTC Nexus Moto Blackberry, Bluetooth Speaker Headset, Power Bank and More, White]]  Great product that solves a simple problem and ends the race between my wife and I for the charger outlet.  No worry that we have different devices and this thing knows what you need and handles the job.  Quality seems excellent."
1,Few weeks now and still working great
0,"It works pretty good for the price, the button is a little sensitive when changing settings,other than that very happy with purchase<br />i"
1,"This thing is awesome! Its small and quickly charges my phone and tablet. I bought it when it went on sale for 10$, which is a great price to pay for this product. This product doesn't come with a wall charger but it comes with a USB to micro USB. Since I had an old wall charger from a phone, I was able to use that. If you have a Samsung Galaxy, the USB charging cord that comes with it can be used to charge your phone. The cord that comes with it is not super long, which I like while charging my phone because it doesn't get in the way.<br /><br />Pros: Small, charges quickly, holds good charge easy to use, indication of external battery charge with LED<br /><br />Cons: Sometimes if its charging something for a while it gets hot, doesn't come with a wall charger (wasn't a big deal to me)"
1,"Like the case. It's comfortable in the hand, the buttons work well, and most importantly the phone feels protected. It's not the most aesthetically pleasing case... Wish UAG wasn't stamped so prominently on the back"
1,"I love, love love this cell phone clutch.  I have 3 different ones and this one is by far the prettiest.  Good quality.  Well worth it."
1,excellent
0,It chipped after 30 days of use when my daughter dropped it but the phone is still good.
0,got wet once and stoped working
1,Great cable. Gets the job done.
0,Good
-1,[[ASIN:B00DZSGS8W BLU Q170T Samba TV Unlocked Dual SIM Quad-Band GSM Phone (White/blue)]] this gatge this device vin with deserts programming details which do not allow me to save messages or contacts or because at times restarts alone and makes me lose the information stored with the understanding that they sent a malfunctioning phone.
1,It sounds awesome so happy with my speakers
1,No review
-1,Charges phone but not constantly. Often have To check make sure its charging device.  Its not all that
1,"Awesome phone case, doesn't make the phone look big, the design is great and the buttons are great to the touch."
-1,Mine is going straight back.  Couldn't get it to turn on or take a charge fresh out of the box.  Don't waste your money.
1,"Works great, nice price."
-1,Charged great when it worked. Did not even last half a year.
1,works as expected.  no Wow factor to earn a fifth star but I am very pleased with the performance.  I also like that it comes with a double sided velcro tape to post to a wall or desk
1,"My wife loves it, but it didn't work well for my car"
1,Quality product!
1,"Love it. Easy to apply and i didn't face any problems with it. I loved the it came with it tow small wipes to clean your screen before apply it, one is dry and one is wit."
1,"I ordered this case as a gift for my niece and she loves it, she said it made her phone look very classy and the stylus was an extra bonus that she enjoys.  However, I also ordered the glass screen protector which did not fit the phone, so I will be returning it."
1,"This is a great price for a great case. It's exactly what I wanted, fits my Moto X perfectly and protects it great. I don't really drop my phone, but it seems pretty sturdy for those who do."
1,Best case ever. I get so many compliments on it!
1,Great seller. Fast delivery. Product as described. Thank you!
1,EZ to use
1,"Excellent product, fast shipping!!!"
1,"Works as expected. I wish that I could get to the photo button though,"
1,"The case met my expectations. The corners are more of a soft rubber with a hard back. It is two pieces, easy to put on. It does add a little bulk to an already good sized phone, but I like it, I feel like my investment is protected. It arrived fast, good service."
1,works looks great looks good
1,"Good hardy case.  Not stylish, but gets the job done."
-1,"Sound great.<br />Bluetooth connection can sometimes be problematic.<br />Charging connector is terrible, so whether or not it will charge when you plug it in is a roll of the dice.<br />Without power, these are pretty much worthless."
1,The glass was not a perfect fit but it has protected my phone nicely. I would suggest watching videos on how to install.
1,Great phone
1,"It fits my S5 mini phone but not perfectly, especially on the bottom, it doesn't attach very well"
1,Exactly as advertised
0,It serves it's purpose but it is loud for whoever is sitting in the seat where it is attached to.
-1,charges very slow
1,"These cables seem to be very well made and I believe durability will not be a problem.  I have a Galaxy S6 and these cables work great with it,  they have a very rapid rate of charge and they stay plugged into my phone securely.  I also love the color coding because now I can give them to my kids and they no longer argue over which cable belongs to which child.  Another positive is the variety of cable lengths in the package.  The 3 ft. cables work great in the car and the longer ones are perfect for the house.  The price is unbelievable for the quality you receive and so far I have no complaints about these cables."
1,I LOVE IT. IT WORKS GREAT AND I REALLY LOVE THAT IT TURNS OFF WHEN THE CHARGE IS COMPLETE.
1,Great case at an affordable price
1,Nice small car charger. Charges pretty fast. not much more to say about it. it is what it is.
1,Fits as it should
0,"I bought them in April and they just stop functioning the other day (August).  If that had not happened I would have given it 4-5 stars.  The only other reason not 5 stars was, the &#34;on&#34; switch did not connect the device reliably.  I had to repeatedly switch it &#34;off&#34; & &#34;on&#34; about 4 times, every time, to get it to connect.  I love the headphones, but I guess they don't work, so no good."
1,"I owned many headphones and earbuds cheap and expensive, these earbuds for some reason stand out as the best earbuds I have ever owned. I bought 5 at once so I have them for a long time. It fits the ear well, also comes with two other replacement smaller and larger.  I used them initially with blackberry and that's how I got the fist pair, but then they worked excellent with my iPhones since I made the switch few years ago. Mine started falling apart because they were the only earbuds I can use reliably. Very good quality and delivers excellent sound as well as excellent clarity and reliability to use with the phone. Compared to much more expensive earbuds, these are &#34;Highly&#34; recommended."
1,Works great. Good fit.
-1,Didn't stick to my smooth plastic dash like advertised. Might stick to windshield but that's not why I bought it. Very dissatisfied.
-1,It did not work and we tried to make it work.
1,"Solid product. I have a few different Anker cables, and none have let me down so far. The smaller form factor allowed this to work with my wifes Defender case which was a challenge for many cables."
1,It works as advertised.
1,"Great USB Hub! Small, sleek and perfect. Had no issues hooking it up. The two smart power ports charge devices through USB quick and fast."
1,Perfect for my 02 escape
1,"Case fits snug, but is still flexible and easy to hold."
1,Perfect
1,I like the case. It fit perfectly and it's very sturdy. It took too long to get here.
1,good phone for my elderly mom.  keyboard key
1,"Just what I needed! Sometimes I want a low shot, and my tripos doesn't reach the ground. This is PERFECT for that!:) I would definitely buy it again!"
-1,"The absolute first time the phone was dropped while using this case, the screen cracked. I would not recommend this case to someone. The phone fell maybe 3 feet onto the floor, it fell flat, screenside down, and the whole screen cracked. The case also feels very cheeply made, the rubber that covers where the s pen is and the charging port is very flimsy and it feels as if you could easily rip it off. This case does not offer appropriate protection."
1,I was very schocked when I received this and in a good way . the product looked new and I purchased it for my 12 year old daughter and she loves it .
-1,The only reason I gave it an extra star instead of 1 star is because of the price. You get what you pay for. The sound quality is the worst I have ever herd on a pair of head phones. They wouldn't stay in my ears and there was no different sized buds that came with them. I mainly was just buying these with low expectations. I wanted to try a cheap pair of blue tooth buds before I went and spent money on a better pair. So I tried these and I liked the idea and how it worked but these were just too low quality for me. So i have recently spend more money on a higher quality pair and i love them. Maybe ill give these to someone who are curious also before they go spending money on an expensive pair.
1,This is simply the best selfie stick that I have ever had. All the other previous three failed my expectation. This one has exceeded my expectation with handy design and reliable blue tooth connections.
1,Very cute graphics.
1,It's very thin.. not a life proof case by any means. but I love the gold pineapples. I get a lot of compliments on it.
1,"I just bought a new battery for my Samsung S5 and then the old battery just died on me.. So, now that was no longer my back up, but my full time battery. I noticed my phone dying half way through the day, and didn't think I would stay with Samsung. (I don't like that you can't change out the battery anymore, or add SD card) So I didn't want to buy something only compatible with Samsung. So I purchased this so I can use it with any of my electronics in need of a charge. It works great, and is pretty fast."
1,My favorite headphones! These earbuds have amazing high and low end and the range of the Bluetooth connection is impressive for their price.
-1,Very diappointing. The case is very loose and doesn't stay on the phone.
-1,It won't stay charged for more than 4 hours even if I'm not texting or talking on it.  Every day by noon it is dead
1,"Its a fantastic gadget for the car. It is very easy to install and operate. The quality of the product is good. The markings in green, yellow and red while reversing really helps. It does not show the distance though but you will get used to it and develop judgement. The camera  is not freely rotating and needs to be set and fixed tight with the screws provided. Once you connect the power supply from the reverse tail light the camera and monitor (needs to be connected to 12V socket- cigarette lighter) switches on immediately very negligible delay. Overall a value for money gadget."
1,thank you
1,"[[VIDEOID:f2ef858c1586762c334e2029ea27bda3]]I really like this camera an I'm glad I purchased it. With it I can easily record my trips without having to worry about fiddling with buttons. It's probably smaller than you think and isn't easy to spot as long as you don't put it in the middle of the windshield.  It comes with everything you need to put it in your car, including an 8gb micro sd card, a cig lighter adapter, sticky cable holders and two sided tape to stick it to the windshield. Tip: Make sure you choose a location and test it before affixing it to the windshield. There are extras of two sided tape included, but it's a pain to get back off the windshield once it is on there.  The mount is good, but it could be better. It's easy enough to take the camera off of the mount, but if you wanted to put the camera in a different car you'd have to take the two sided tape off of your windshield and the mount and put on a new piece. That's fine though, since I don't plan on using it in another car.  The camera comes with the latest version of the software as of this writing. The manual directs you to mini0806.com, which has one newer update available (5/2015), but when asking SplashETech about this, they said this is the manufacturer site and that updates would be posted to the splashetech.net site, which apparently is no longer their site since the last time I visited it. I have no idea what happened with that, but it looks like the current site is advertising furniture.  The video looks good. I was only able to clearly make out license plates on the highest setting though. The GPS is a nice feature. You can set it to display the speed and coordinates on the video itself along with the date and time. When the sun is at the right angle there is a bit of glare off of the dashboard that is apparently solved with a CPL filter. I see that this is included with some other units. I kind of wish it was included with this instead of the 8gb card, since I probably will not beusing the 8gb card.  At night you can see things, but it's certainly not &#34;night vision&#34; in any sense.  One problem I found is the slot a and slot b functionality doesn't work as intended. From what I gather it's supposed to roll over to the next slot when one card is full. It does not do this though. It'll just remove the oldest files on one card when it is full. If one card is removed, it'll record to the other card. For my purposes a 32gb card is enough for 4.5 hours of video on the second largest video setting, and I really don't need to save more video than that.  Another issue is the manual mentions a &#34;parking guard mount&#34; but it simply isn't available, so there is no true parking mode. You could hard wire into an unswitched power source and just leave the camera on all the time, but that's not really an efficient solution. The option in the menu is supposed to activate recording when a vibration is felt by the camera, but it doesn't look like it works without the mount.  Overall it's a great unit and I would recommend this to a friend. I received this item at a discount in exchange for my honest review.  To recap -  Pros:  - Very small, and sleek  - Good video quality on the highest setting  - Firmware seems to be updated regularly (at least on mini0806.com)  - Comes with everything you need  Cons:  - The mount could be better  - Slot A & B functionality doesn't work properly (doesn't start recording to other card when one is full)  - Needs the CPL filter to prevent glare  - No parking mode  Edit: added video of a close call I had. The quality is significantly reduced by Amazon. In the full resolution video I can see the car's license plate."
-1,This was my first lifeproof and I'll just say I was beyond excited when it was first purchased. To say that this case didn't live up to my expectations would be a huge understatement. I bought the case from Amazon and within the first month or two the mute (sound) button had torn significantly lowering the value of the case and stripping it of it's waterproof seal. I spoke with LifeProof's customer service and was sent a new phone case fairly quickly (which surprised and delighted me). Unfortunately about a month or two after receiving the replacement case it also began to breakdown (althought not as badly in the same spot) but also along the door for the charging cable (it has a hole also). These cases definitely were not worth their price and also not what I expected from a company that I heard so much positive praise about. I can't say that I'd buy again.
1,Went kayaking down river and case worked perfectly. I have iphone 6 plus and it fits perfectly. I did the water test before I put my phone in it. Did not take any pictures underwater but it did it did get in water with it around my neck and no problems with water coming in. Very good for me!
1,"The Defender Case is a typical OtterBox case that is heavy-duty and durable.  This product is thick and clunky.  I think of it more for a construction worker or similar field.  I like that it has a built in screen protector that does not have to be purchased separately.  The name fits the case.  This case also comes with a durable clip to use on the outside of your clothing or clipped into a bag.  The only real “negative” is the price. . . when it’s Made in China for a few bucks. . . it’s hard to justify the current price.  On the other hand, if you want a case with this kind of protection, it’s a great case."
1,Absolutely love this case. The finish on the back is nice a smooth but the edges give it good grip. I love that the design is not on the outer layer on the back so it does not scratch off. Low profile but sticks out enough to protect the screen and wraps completely around bottom rather than leaving it exposed as others do.
-1,"This is my second one in the past maybe 3-4 years, and after about a year or so they always stop working. They work awesome at first and sound great. Just wish it would last longer."
0,"For the most part everything is great for me, but my biggest problem is the battery. I could 1 minute be at 100% then 2 minutes later be at 81 & it could be great one day & awful the next."
1,looks great.
1,Excellent Case
-1,It doesn't last more than 2 weeks. The exact time that i can't return it.  This is my fifth and last.
1,"good, battery life great, software strong, speakers great"
-1,Since I had to return the phone it didn't work now I have a screen protector that I can't use.. I have to pay the postage to get all my money back..hassle..
-1,I had used this once. I plugged it in to use it a second time and i immediately smelled burning and saw smoke. The end that plugs into the phone was smoking and burning. Smoke immediately filled my car. Had I not been in my driveway this could have been very dangerous. And I've now tried the charger base with other cords and it wont work with any other cord. Needless to say I would never buy another one!!!!
1,"I use this most everyday on my bicycle.  I get to rock to my iTunes, check weather, or use it for turn-by-turn navigation through the streets of downtown Portland Oregon."
1,great buy
1,Working great !
1,The cap fitted perfect. The unique difference is that the original was wite and this one is black; it doesn't affect anything under the hood.
-1,The cord still works but I can see it cracks on the cord from where the cord would finally give up and stop working. I expected amazon to make better products. I have had this for a little more than 4 months.<br />Amazon Please let me know if I can return or get a replacement. Thanks.
1,I had no problems putting the screen protector on my phone.  I like the durability of the tempered glass.
0,Glue on the velcro won't stick when hot.
1,"Love it, it is good for when I am walking do not have to hold my phone in my hand."
1,"If you have no use for the dual point connectivity, DEFINITELY go with the cheaper model of the same brand! (Kinivo BTC450).<br /><br />The multipoint connectivity of this 455 model allows you to connect two Bluetooth devices concurrently. But it comes with some pretty major trade-offs. For one, for the first 30 seconds after turning on your car and playing music (through your phone for instance) the Kinivo is actively searching for a second device... and for those 30 seconds it fades in and out of your signal. So incredibly annoying!<br /><br />The second side effect is that it gets super confusing when a second device is synced simultaneously anyways. It's gotten so frustrating with my wife in the car with her iPhone paired as well. We have no idea what the Bluetooth is doing, cause sometimes my phone works, and other times hers does. Random. I reset the Kinivo and now I am the only paired device.<br /><br />I do like having a Bluetooth-enabled vehicle now, and everything else about the Kinivo I'm a fan of.<br /><br />One last thing is that if you encounter interference using this you may need what's called a Ground Loop Isolator. I purchased this one (https://www.amazon.com/gp/aw/d/B001EAQTRI) and all my interference went away."
-1,The is perfect for its big button for my father with macular degeneration<br /> Also not a complicated phone<br /> Had to get a different SIM card for it to work for ATT.<br />The signal goes from 2 bars to no service constantly and this is without moving. My parents would call someone and it would ring on the callers end but phone would lose signal at some point in ringing And my parents would have to keep trying. The call receiver would pick up phone but my parents weren't there since the phone not lose a signal
1,"Great case, hard to open slot where you connect to charge."
1,Great price<br />Great Quality
1,Perfect !
1,Nice phone.  It does all I need.
1,Nice very nice
0,Not what I expected... There is no screen cover so I will have to get a sepRate one to protect the screen
1,Pretty case but doesn't fully fit my phone. It still works.
1,"Fast delivery, works perfect"
1,Love the prodcut
1,Great! Love it!
1,"Best money spent. After 2 1/2 years I've had this device. To this day I still say it's best money spent. In time the wear and tear will take its toll. Esspecially if you're like me. I wear it when running, in the gym, or if I take public transportation. I like to hear music in one ear and still be aware of my surroundings.  Be it a person or a vehicle but I'm crossing the street. You may have to replace the rubber band that lies beneath the latex ear bud. If it pops in time. My advice is to order a single pack off of this site. I was so pleased I could just order a new pack of ear buds from Amazon for under $10."
0,Has too many air bubbles.  Unable to get a clear screen.
-1,"WHAT A PIECE OF CHEAPJUNK!!!  DO NOT BUY THIS IF YOU WANT SOMETHING THAT WILL FUNCTION FOR LONGER THAN 6 WEEKS!<br />THE MICRO USB CONNECTOR ON THE POWERBOT IS ABSOLUTELY THE CHEAPEST OF IT'S TYPE I HAVE EVER ENCOUNTERED IN ALL THE YEARS I'VE OWNED A VARIETY OF DEVICES WITH MIRCO USB PORTS!!!  IT STARTED AFTER ABOUT 5 WEEKS OF USAGE. AT FIRST, THE PORT JUST NEEDED A LITTLE BIT OF JIGGLING TO GET IT TO WORK. AS TIME PROGRESSED, ABOUT 3 WEEKS, THE CHARGING PORT CONNECTION JUST STOPPED FUNCTIONING. NOTE: SINCE I OWN A SAMSUNG GALAXY S3, WHICH IS RENOWNED FOR IT'S HIGH MICRO USB CHARGING PORT FAILURE, AND THE REASON WHY I BOUGHT THIS POWERBOT IN THE FIRST PLACE, I KNEW THAT THE BEST METHOD FOR PREVENTING MICRO USB WEAR WAS TO LEAVE THE MICRO END OF THE CABLE PLUGGED IN TO THE POWERBOT, AND UNPLUG THE STANDARD USB CONNECTOR FROM THE CHARGER WHEN NOT IN USE. UNFORTUNATELY, THIS DID NOT WORK!  EVEN WITH MY EXPERIENCE WITH PREVIOUS MICRO USB PORT FAILURES, I WAS NOT SUCCESSFUL IN EVADING THIS ISSUE.  PLEASE CHOOSE ANOTHER BRAND THAT HAS A HARDWIRED CABLE AND SKIP ONES WITH A MICRO USB PORT. I ORDERED ONE THE OTHER DAY. IT HAS A STANDARD SIZE USB CABLE COMING OUT OF THE CHARGING UNIT. SO, I WILL LEAVE THAT PLUGGED INTO THE CHARGER AND JUST UNPLUG THE 110 VOLT CHARGER FROM OUTLET. (THIS METHOD ALSO WORKS WITH 12 v CAR CHARGERS) THIS WAY, I WON'T HAVE TO BE CONCERNED ABOUT EXCESSIVE WEAR, AS WELL, ON THE STANDARD USB CONNECTOR."
1,Great buy. Works as described.
0,It fits pretty good. It is very clear and is very easy to install. Only issue is the edges don't stick down. There is a border all the way around that seems to be trapping dust.
